Open,high,low,close,volume,UnixTime
59.979,66.800,59.300,65.200,119079487.7861,2018-05-29
65.200,68.379,63.703,65.738,100996981.3660,2018-05-30
65.738,67.400,64.500,66.748,68498806.2073,2018-05-31
66.737,68.350,66.130,67.999,59911054.6940,2018-06-01
67.999,71.500,67.577,70.229,82049781.0234,2018-06-02
70.229,76.098,70.200,76.098,92323113.6028,2018-06-03
76.054,77.480,70.000,72.055,144900851.3225,2018-06-04
72.068,75.000,69.851,74.094,105251758.5535,2018-06-05
74.093,75.705,72.650,74.425,78866213.0892,2018-06-06
74.440,75.481,73.700,74.585,61121350.1853,2018-06-07
74.585,74.677,72.210,73.934,66529210.8634,2018-06-08
73.965,74.499,72.427,72.679,36868873.3077,2018-06-09
72.679,72.789,60.902,64.500,184121973.5828,2018-06-10
64.410,67.200,62.298,66.802,128358029.8544,2018-06-11
66.802,66.900,61.500,62.200,111825448.9851,2018-06-12
62.168,63.100,56.584,59.150,147429019.6136,2018-06-13
59.150,63.988,58.100,61.900,143856963.5239,2018-06-14
61.950,62.086,59.060,59.377,83545388.5990,2018-06-15
59.410,60.047,58.000,59.192,80184839.9891,2018-06-16
59.199,59.797,58.412,58.634,48130223.2744,2018-06-17
58.615,60.850,56.120,58.940,118118648.0791,2018-06-18
58.977,62.200,58.378,60.799,105337199.2432,2018-06-19
60.780,61.047,58.330,59.714,84134717.0686,2018-06-20
59.710,60.700,58.751,59.300,60603693.1549,2018-06-21
59.300,59.350,53.000,54.225,139070183.3856,2018-06-22
54.239,55.555,53.216,54.453,81145028.7083,2018-06-23
54.492,54.825,50.100,52.447,192287605.6733,2018-06-24
52.488,54.500,52.150,53.350,100026450.3945,2018-06-25
53.343,53.489,50.515,50.630,69229372.7480,2018-06-26
50.630,52.300,50.251,51.931,73823659.0156,2018-06-27
51.943,52.190,50.000,50.080,61559652.2385,2018-06-28
50.080,50.805,47.201,50.002,121916777.9465,2018-06-29
50.031,53.300,49.800,51.688,117471050.6674,2018-06-30
51.687,52.500,50.100,51.148,62187040.0631,2018-07-01
51.145,54.985,50.300,54.081,100103500.7840,2018-07-02
54.081,58.496,53.018,53.602,147052729.0954,2018-07-03
53.612,55.881,51.815,54.186,112008678.2901,2018-07-04
54.186,55.505,52.050,52.901,77212456.4072,2018-07-05
52.956,53.238,50.899,52.702,81309059.2250,2018-07-06
52.707,53.299,51.450,53.150,45500549.1982,2018-07-07
53.150,53.974,52.561,52.815,59189611.9006,2018-07-08
52.815,53.400,52.222,52.602,38435817.1654,2018-07-09
52.552,52.584,48.651,49.468,86519296.2138,2018-07-10
49.468,50.601,49.030,50.555,59940310.1314,2018-07-11
50.555,50.556,48.001,49.200,54313987.1048,2018-07-12
49.200,50.080,48.800,49.259,43816301.0841,2018-07-13
49.263,49.895,48.882,49.248,26164216.0329,2018-07-14
49.245,50.500,49.100,50.138,45100644.5339,2018-07-15
50.149,55.000,50.021,54.901,125260432.8502,2018-07-16
54.901,58.600,52.615,56.599,168106246.4440,2018-07-17
56.599,59.109,53.400,54.702,161001963.9659,2018-07-18
54.702,55.521,53.206,53.600,124365137.3110,2018-07-19
53.588,53.600,48.800,50.057,150712598.9733,2018-07-20
50.050,51.500,48.840,50.819,79262602.5393,2018-07-21
50.819,51.430,49.801,50.000,53744019.1395,2018-07-22
50.012,51.389,49.350,49.765,70649902.5268,2018-07-23
49.765,51.797,48.520,50.790,123279194.3181,2018-07-24
50.795,51.700,50.052,50.890,74506117.2973,2018-07-25
50.890,51.495,49.500,50.035,59571754.7623,2018-07-26
50.034,51.147,49.351,50.521,66679949.6011,2018-07-27
50.571,50.668,49.720,50.356,28223569.2561,2018-07-28
50.357,50.631,50.022,50.285,20056814.4870,2018-07-29
50.285,50.399,48.360,49.429,44277708.7709,2018-07-30
49.402,49.501,47.824,48.400,59683779.9291,2018-07-31
48.400,51.397,47.852,49.711,97958350.2608,2018-08-01
49.697,50.101,48.055,48.153,50670659.0122,2018-08-02
48.128,49.700,47.801,48.930,66502933.4162,2018-08-03
48.936,49.150,47.803,48.063,39897314.4329,2018-08-04
48.070,48.500,47.502,48.432,26633253.8855,2018-08-05
48.432,48.631,45.000,45.791,52108394.9219,2018-08-06
45.787,46.149,41.501,42.200,77933131.7912,2018-08-07
42.201,42.211,35.751,36.990,188640200.2328,2018-08-08
36.990,40.180,36.540,38.395,199503168.3417,2018-08-09
38.395,38.622,35.030,35.625,107792659.3263,2018-08-10
35.620,35.800,31.588,33.200,173222333.3907,2018-08-11
33.200,34.550,32.651,32.966,80672471.1734,2018-08-12
32.966,34.450,30.311,30.649,124365421.0124,2018-08-13
30.649,30.998,27.906,30.270,196859838.4269,2018-08-14
30.270,33.660,30.200,30.987,269156256.8615,2018-08-15
30.986,33.300,30.311,32.649,150916987.4624,2018-08-16
32.647,42.803,32.506,41.001,286213928.7468,2018-08-17
41.001,41.138,34.401,36.299,309458860.5571,2018-08-18
36.299,39.012,35.300,38.035,202497523.1957,2018-08-19
38.035,38.892,34.622,34.816,162360839.6386,2018-08-20
34.849,37.200,34.595,36.780,145041580.1686,2018-08-21
36.774,38.503,34.501,35.150,136095500.2798,2018-08-22
35.180,36.500,35.070,36.350,87890647.4360,2018-08-23
36.350,36.430,35.240,36.206,70907146.2659,2018-08-24
36.206,37.100,35.850,36.368,65394033.0923,2018-08-25
36.369,36.475,35.500,35.953,58343543.5728,2018-08-26
35.960,37.500,35.835,37.470,78564180.0930,2018-08-27
37.470,39.825,37.100,39.084,188125331.9495,2018-08-28
39.081,39.418,37.705,38.479,135982726.2227,2018-08-29
38.481,38.675,35.958,37.260,162030739.9953,2018-08-30
37.260,37.800,36.300,37.144,96496283.4547,2018-08-31
37.150,39.142,37.150,38.490,133043800.2673,2018-09-01
38.488,38.692,37.281,38.027,127678267.6281,2018-09-02
38.028,38.157,36.900,37.232,66574513.1022,2018-09-03
37.232,37.725,36.550,36.885,83817041.0322,2018-09-04
36.885,37.190,30.796,30.980,170136532.1111,2018-09-05
30.979,33.900,30.000,33.335,186447073.2513,2018-09-06
33.311,33.648,31.101,31.930,127548318.7050,2018-09-07
31.930,32.610,30.027,30.880,89190898.1293,2018-09-08
30.889,32.301,30.202,30.700,101462649.6546,2018-09-09
